id;address_line_1;address_line_2;zip_code;city;country
1;models CFP Franc Human;Quality;19816-5387;Lake Harvey;Ukraine
2;bypassing;needs-based Architect;88954-4913;South Jordiview;Antarctica (the territory South of 60 deg S)
3;copy methodical;Producer;10671;Quitzonville;Aruba
4;Table Tuna;generate Berkshire invoice;15856-3813;Tyreekview;French Southern Territories
5;hacking;interactive;73471-6867;South Aiyanaburgh;Denmark
6;Refined Soft Sausages National National;Soap Orchestrator;72077-8801;South Dulce;Switzerland
7;Savings Account Cayman Islands Dollar Canada;withdrawal object-oriented USB;93886;New Rozellashire;Niger
8;Accounts Savings Account Gorgeous;generating parse;55615;North Westley;United Kingdom
9;input payment;calculating Cheese payment;61903;Hilpertbury;Belize
10;Ramp Gloves Metal;Personal Loan Account;66928-6220;Kaneland;Gambia
